weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
418,"{'top_left': 0, 'top_right': 0, 'bottom_left': 257, 'bottom_right': 161}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.49423076923076925, 'bottom_right': 0.3096153846153846}","(17.15311004784689, 40.461722488038276)","(0.4398233345601767, 0.77811004784689)","(44.42078363590578, 94.19665300702823)","(0.01581373571943958, 0.058872908129392644)"
296,"{'top_left': 9, 'top_right': 8, 'bottom_left': 139, 'bottom_right': 140}","{'top_left': 0.022727272727272728, 'top_right': 0.020202020202020204, 'bottom_left': 0.351010101010101, 'bottom_right': 0.35353535353535354}","(11.5, 45.476351351351354)","(0.5, 0.6890356265356266)","(90.39133263330899, 26.506756756756758)","(0.02013618459196012, 0.046018674924924924)"
186,"{'top_left': 0, 'top_right': 0, 'bottom_left': 109, 'bottom_right': 77}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.34935897435897434, 'bottom_right': 0.2467948717948718}","(12.376344086021506, 42.833333333333336)","(0.5156810035842294, 0.8237179487179488)","(51.32168458781362, 24.449762978379006)","(0.018270446631475125, 0.03911962076540641)"
269,"{'top_left': 7, 'top_right': 7, 'bottom_left': 128, 'bottom_right': 127}","{'top_left': 0.01881720430107527, 'top_right': 0.01881720430107527, 'bottom_left': 0.34408602150537637, 'bottom_right': 0.34139784946236557}","(11.617100371747211, 43.37546468401487)","(0.5050913205107483, 0.6996042690970141)","(84.69545749782341, 37.9240198449441)","(0.021339243511671307, 0.06584031223080572)"
325,"{'top_left': 0, 'top_right': 0, 'bottom_left': 188, 'bottom_right': 137}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.36153846153846153, 'bottom_right': 0.26346153846153847}","(20.04, 41.14769230769231)","(0.501, 0.791301775147929)","(60.07664852071007, 114.2784)","(0.02138720132456749, 0.06798239143367044)"
319,"{'top_left': 0, 'top_right': 0, 'bottom_left': 157, 'bottom_right': 162}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.31781376518218624, 'bottom_right': 0.32793522267206476}","(18.836990595611287, 39.22884012539185)","(0.5091078539354402, 0.7544007716421509)","(46.27678580202632, 78.9640235453661)","(0.01647446984764198, 0.05468422683197099)"
210,"{'top_left': 0, 'top_right': 0, 'bottom_left': 116, 'bottom_right': 94}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.28641975308641976, 'bottom_right': 0.23209876543209876}","(14.533333333333333, 37.77142857142857)","(0.48444444444444446, 0.7126684636118599)","(39.59537414965986, 58.125079365079365)","(0.013578660545150844, 0.060483953553672594)"
259,"{'top_left': 0, 'top_right': 0, 'bottom_left': 118, 'bottom_right': 141}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3241758241758242, 'bottom_right': 0.3873626373626374}","(14.193050193050192, 38.945945945945944)","(0.5068946497517925, 0.7489604989604989)","(42.86194302410519, 36.7889864492181)","(0.015258790681418721, 0.04374433584924863)"
376,"{'top_left': 0, 'top_right': 0, 'bottom_left': 188, 'bottom_right': 188}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.32867132867132864, 'bottom_right': 0.32867132867132864}","(21.574468085106382, 41.125)","(0.4903288201160541, 0.7908653846153846)","(65.50831117021276, 148.8667949298325)","(0.023320865493133773, 0.07351446663201605)"
317,"{'top_left': 0, 'top_right': 0, 'bottom_left': 124, 'bottom_right': 193}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.2980769230769231, 'bottom_right': 0.4639423076923077}","(17.555205047318612, 41.76340694006309)","(0.5662969370102778, 0.8031424411550595)","(50.00396063250704, 71.69805650369693)","(0.017801338779817388, 0.07001763330439154)"
260,"{'top_left': 0, 'top_right': 0, 'bottom_left': 121, 'bottom_right': 139}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.38782051282051283, 'bottom_right': 0.44551282051282054}","(13.6, 41.16923076923077)","(0.5666666666666667, 0.791715976331361)","(54.055976331360945, 40.14769230769231)","(0.019243850598562103, 0.06423630769230769)"
222,"{'top_left': 0, 'top_right': 0, 'bottom_left': 105, 'bottom_right': 117}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.25240384615384615, 'bottom_right': 0.28125}","(15.855855855855856, 43.846846846846844)","(0.4954954954954955, 0.8432085932085932)","(45.571138706273835, 32.348591835078324)","(0.01622326048639154, 0.029704859352689003)"
299,"{'top_left': 34, 'top_right': 0, 'bottom_left': 117, 'bottom_right': 148}","{'top_left': 0.06513409961685823, 'top_right': 0.0, 'bottom_left': 0.22413793103448276, 'bottom_right': 0.2835249042145594}","(17.42809364548495, 40.27090301003344)","(0.4979455327281414, 0.6943259139660939)","(98.51189584009127, 86.43212044608003)","(0.028299883895458566, 0.0666914509614815)"
251,"{'top_left': 0, 'top_right': 0, 'bottom_left': 122, 'bottom_right': 129}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.33516483516483514, 'bottom_right': 0.3543956043956044}","(13.800796812749004, 37.844621513944226)","(0.4928856004553216, 0.7277811829604659)","(45.820479040015236, 45.28302725353566)","(0.016312025290144264, 0.05384426546199246)"
176,"{'top_left': 0, 'top_right': 0, 'bottom_left': 100, 'bottom_right': 76}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.27472527472527475, 'bottom_right': 0.2087912087912088}","(13.556818181818182, 39.71022727272727)","(0.4841720779220779, 0.7636582167832168)","(40.75125903925619, 46.70131714876033)","(0.014507390188414451, 0.055530698155481964)"
215,"{'top_left': 0, 'top_right': 0, 'bottom_left': 84, 'bottom_right': 131}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.1700404858299595, 'bottom_right': 0.2651821862348178}","(19.288372093023256, 40.55813953488372)","(0.5213073538654934, 0.7799642218246869)","(38.88848025959978, 91.76800432666306)","(0.01384424359544314, 0.06355124953370019)"
247,"{'top_left': 0, 'top_right': 0, 'bottom_left': 119, 'bottom_right': 128}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.4576923076923077, 'bottom_right': 0.49230769230769234}","(9.890688259109313, 40.70040485829959)","(0.49453441295546563, 0.7827000934288383)","(47.926437083053315, 26.73703879755446)","(0.017061743354593564, 0.06062820589014617)"
345,"{'top_left': 0, 'top_right': 0, 'bottom_left': 182, 'bottom_right': 163}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.2916666666666667, 'bottom_right': 0.26121794871794873}","(22.69855072463768, 39.98840579710145)","(0.48294788775824854, 0.7690078037904124)","(44.7882713715606, 137.75840369670237)","(0.01594456083003225, 0.05979097382669374)"
370,"{'top_left': 0, 'top_right': 0, 'bottom_left': 221, 'bottom_right': 149}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.38636363636363635, 'bottom_right': 0.26048951048951047}","(18.054054054054053, 40.17027027027027)","(0.41986172218730355, 0.7725051975051975)","(45.395332359386416, 130.36464572680788)","(0.016160673677246856, 0.06733711039607845)"
410,"{'top_left': 0, 'top_right': 0, 'bottom_left': 252, 'bottom_right': 158}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.4214046822742475, 'bottom_right': 0.26421404682274247}","(18.86829268292683, 39.65365853658537)","(0.41929539295392954, 0.7625703564727956)","(41.489803688280794, 136.74850684116598)","(0.014770311031783835, 0.06462594841264933)"
235,"{'top_left': 0, 'top_right': 0, 'bottom_left': 118, 'bottom_right': 117}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.2388663967611336, 'bottom_right': 0.23684210526315788}","(18.46808510638298, 41.5063829787234)","(0.4991374353076481, 0.7981996726677577)","(25.484001810774107, 91.95961973743776)","(0.00907226835556216, 0.06368394718659125)"
275,"{'top_left': 0, 'top_right': 0, 'bottom_left': 167, 'bottom_right': 108}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.45879120879120877, 'bottom_right': 0.2967032967032967}","(10.821818181818182, 41.127272727272725)","(0.40080808080808084, 0.7909090909090909)","(53.245619834710745, 45.404614876033065)","(0.018955364839697668, 0.05791404958677687)"
134,"{'top_left': 0, 'top_right': 0, 'bottom_left': 33, 'bottom_right': 101}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.12692307692307692, 'bottom_right': 0.38846153846153847}","(10.746268656716419, 38.507462686567166)","(0.5373134328358209, 0.7405281285878301)","(58.981287591891295, 12.338605480062375)","(0.020997254393695725, 0.02797869723370153)"
322,"{'top_left': 0, 'top_right': 0, 'bottom_left': 156, 'bottom_right': 166}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.375, 'bottom_right': 0.39903846153846156}","(15.950310559006212, 40.5)","(0.5145261470647166, 0.7788461538461539)","(50.12577639751553, 57.56274835075806)","(0.017844705018695454, 0.05621362143628717)"
285,"{'top_left': 0, 'top_right': 0, 'bottom_left': 118, 'bottom_right': 167}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.22692307692307692, 'bottom_right': 0.3211538461538462}","(20.417543859649122, 41.97894736842105)","(0.5235267656320287, 0.8072874493927126)","(46.50481994459834, 84.12390273930441)","(0.016555649677678298, 0.05257743921206526)"
195,"{'top_left': 50, 'top_right': 42, 'bottom_left': 63, 'bottom_right': 40}","{'top_left': 0.09615384615384616, 'top_right': 0.08076923076923077, 'bottom_left': 0.12115384615384615, 'bottom_right': 0.07692307692307693}","(18.70769230769231, 29.364102564102563)","(0.47968441814595664, 0.5646942800788954)","(135.48281393819857, 115.7658382642998)","(0.04823168883524335, 0.07235364891518738)"
