weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
409,"{'top_left': 64, 'top_right': 73, 'bottom_left': 198, 'bottom_right': 74}","{'top_left': 0.12307692307692308, 'top_right': 0.14038461538461539, 'bottom_left': 0.38076923076923075, 'bottom_right': 0.1423076923076923}","(19.403422982885086, 31.503667481662593)","(0.49752366622782274, 0.6058397592627421)","(111.69741931241445, 92.82257997022974)","(0.03976412221873067, 0.058014112481393584)"
422,"{'top_left': 59, 'top_right': 60, 'bottom_left': 139, 'bottom_right': 164}","{'top_left': 0.1620879120879121, 'top_right': 0.16483516483516483, 'bottom_left': 0.38186813186813184, 'bottom_right': 0.45054945054945056}","(13.367298578199053, 34.04976303317535)","(0.49508513252589087, 0.6548031352533722)","(114.85297387749603, 58.445660474832096)","(0.04088749515040798, 0.07454803631993889)"
417,"{'top_left': 64, 'top_right': 93, 'bottom_left': 186, 'bottom_right': 74}","{'top_left': 0.13675213675213677, 'top_right': 0.1987179487179487, 'bottom_left': 0.3974358974358974, 'bottom_right': 0.1581196581196581}","(17.7242206235012, 30.27338129496403)","(0.49233946176392224, 0.582180409518539)","(111.46483101288753, 94.60260280983846)","(0.0396813211153035, 0.06910343521536776)"
369,"{'top_left': 68, 'top_right': 0, 'bottom_left': 175, 'bottom_right': 126}","{'top_left': 0.15384615384615385, 'top_right': 0.0, 'bottom_left': 0.39592760180995473, 'bottom_right': 0.2850678733031674}","(14.525745257452575, 37.40108401084011)","(0.4401740987106841, 0.719251615593079)","(120.35403676529991, 78.47155940394092)","(0.04284586570498395, 0.06788197180271706)"
486,"{'top_left': 52, 'top_right': 54, 'bottom_left': 184, 'bottom_right': 196}","{'top_left': 0.13333333333333333, 'top_right': 0.13846153846153847, 'bottom_left': 0.4717948717948718, 'bottom_right': 0.5025641025641026}","(15.012345679012345, 35.46707818930041)","(0.5004115226337448, 0.6820591959480848)","(114.6933605988247, 66.95046486816034)","(0.04083067305048939, 0.06966749726135311)"
578,"{'top_left': 93, 'top_right': 95, 'bottom_left': 195, 'bottom_right': 195}","{'top_left': 0.1882591093117409, 'top_right': 0.19230769230769232, 'bottom_left': 0.39473684210526316, 'bottom_right': 0.39473684210526316}","(19.0, 32.846020761245676)","(0.5, 0.6316542454085707)","(130.3171208438596, 165.7266435986159)","(0.04639270944957622, 0.10895900302341611)"
835,"{'top_left': 150, 'top_right': 78, 'bottom_left': 356, 'bottom_right': 251}","{'top_left': 0.20604395604395603, 'top_right': 0.10714285714285714, 'bottom_left': 0.489010989010989, 'bottom_right': 0.3447802197802198}","(24.893413173652693, 33.964071856287426)","(0.4445252352437981, 0.6531552280055274)","(111.71367922836961, 200.25330990713186)","(0.03976991072565668, 0.061635367776895)"
597,"{'top_left': 105, 'top_right': 116, 'bottom_left': 173, 'bottom_right': 203}","{'top_left': 0.17676767676767677, 'top_right': 0.19528619528619529, 'bottom_left': 0.29124579124579125, 'bottom_right': 0.34175084175084175}","(17.690117252931323, 38.391959798994975)","(0.5054319215123235, 0.581696360590833)","(166.0842234623705, 73.70799278357168)","(0.03699804487912018, 0.05687345122189173)"
333,"{'top_left': 63, 'top_right': 3, 'bottom_left': 150, 'bottom_right': 117}","{'top_left': 0.16153846153846155, 'top_right': 0.007692307692307693, 'bottom_left': 0.38461538461538464, 'bottom_right': 0.3}","(14.255255255255255, 37.132132132132135)","(0.47517517517517516, 0.7140794640794641)","(117.32788644500356, 49.46937928919912)","(0.04176856050017926, 0.051476981570446535)"
469,"{'top_left': 66, 'top_right': 69, 'bottom_left': 167, 'bottom_right': 167}","{'top_left': 0.14102564102564102, 'top_right': 0.14743589743589744, 'bottom_left': 0.35683760683760685, 'bottom_right': 0.35683760683760685}","(17.52878464818763, 34.11087420042644)","(0.5008224185196466, 0.6559783500082007)","(117.5058305790572, 105.92507762739758)","(0.04183190835851093, 0.08173231298410308)"
