weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
382,"{'top_left': 50, 'top_right': 49, 'bottom_left': 126, 'bottom_right': 157}","{'top_left': 0.15384615384615385, 'top_right': 0.15076923076923077, 'bottom_left': 0.38769230769230767, 'bottom_right': 0.48307692307692307}","(12.892670157068062, 33.109947643979055)","(0.4958719291180024, 0.6621989528795811)","(100.94602669882953, 55.17434417916176)","(0.03881046778117245, 0.07568497143917936)"
394,"{'top_left': 59, 'top_right': 84, 'bottom_left': 180, 'bottom_right': 71}","{'top_left': 0.13111111111111112, 'top_right': 0.18666666666666668, 'bottom_left': 0.4, 'bottom_right': 0.15777777777777777}","(17.248730964467004, 29.477157360406093)","(0.49282088469905727, 0.5895431472081218)","(100.30531577726816, 87.23762529310213)","(0.038564135246931246, 0.06731298247924547)"
349,"{'top_left': 66, 'top_right': 0, 'bottom_left': 166, 'bottom_right': 117}","{'top_left': 0.165, 'top_right': 0.0, 'bottom_left': 0.415, 'bottom_right': 0.2925}","(13.767908309455587, 35.607449856733524)","(0.44412607449856734, 0.7121489971346705)","(112.5020648434742, 65.78854032397108)","(0.04325338902094356, 0.064246621410128)"
440,"{'top_left': 46, 'top_right': 46, 'bottom_left': 174, 'bottom_right': 174}","{'top_left': 0.12266666666666666, 'top_right': 0.12266666666666666, 'bottom_left': 0.464, 'bottom_right': 0.464}","(14.5, 34.45454545454545)","(0.5, 0.6890909090909091)","(103.9115702479339, 63.18636363636364)","(0.03995062293269277, 0.0702070707070707)"
541,"{'top_left': 86, 'top_right': 86, 'bottom_left': 185, 'bottom_right': 184}","{'top_left': 0.18105263157894738, 'top_right': 0.18105263157894738, 'bottom_left': 0.3894736842105263, 'bottom_right': 0.3873684210526316}","(18.380776340110906, 31.728280961182996)","(0.49677773892191635, 0.63456561922366)","(115.4289414071976, 156.47977832520732)","(0.04437867797277878, 0.10836549745512972)"
757,"{'top_left': 128, 'top_right': 64, 'bottom_left': 331, 'bottom_right': 234}","{'top_left': 0.18962962962962962, 'top_right': 0.09481481481481481, 'bottom_left': 0.49037037037037035, 'bottom_right': 0.3466666666666667}","(24.01585204755614, 33.010568031704096)","(0.4447380008806693, 0.6602113606340819)","(98.62604419517353, 186.12920710096347)","(0.03791850987895945, 0.061530316397012716)"
567,"{'top_left': 94, 'top_right': 110, 'bottom_left': 165, 'bottom_right': 198}","{'top_left': 0.17279411764705882, 'top_right': 0.20220588235294118, 'bottom_left': 0.30330882352941174, 'bottom_right': 0.3639705882352941}","(17.019400352733687, 37.516754850088184)","(0.5005705986098143, 0.5861992945326279)","(153.57247059774986, 68.76681939350958)","(0.036348513750946713, 0.05613617909674251)"
315,"{'top_left': 58, 'top_right': 3, 'bottom_left': 145, 'bottom_right': 109}","{'top_left': 0.15466666666666667, 'top_right': 0.008, 'bottom_left': 0.38666666666666666, 'bottom_right': 0.2906666666666667}","(14.244444444444444, 35.84126984126984)","(0.4748148148148148, 0.7168253968253968)","(105.15575711766188, 49.71485008818342)","(0.04042897236357627, 0.05173241424368722)"
439,"{'top_left': 56, 'top_right': 61, 'bottom_left': 158, 'bottom_right': 164}","{'top_left': 0.13176470588235295, 'top_right': 0.14352941176470588, 'bottom_left': 0.37176470588235294, 'bottom_right': 0.38588235294117645}","(17.054669703872438, 33.28018223234624)","(0.5016079324668364, 0.6656036446469248)","(104.88049563877317, 101.19974470867213)","(0.04032314326750218, 0.08261203649687521)"
566,"{'top_left': 55, 'top_right': 85, 'bottom_left': 275, 'bottom_right': 151}","{'top_left': 0.08148148148148149, 'top_right': 0.1259259259259259, 'bottom_left': 0.4074074074074074, 'bottom_right': 0.2237037037037037}","(27.890459363957596, 34.21378091872791)","(0.5262350823388225, 0.6842756183745583)","(123.03026945023662, 219.32368989499182)","(0.047301141657145954, 0.07521388542352257)"
580,"{'top_left': 87, 'top_right': 94, 'bottom_left': 194, 'bottom_right': 205}","{'top_left': 0.13384615384615384, 'top_right': 0.14461538461538462, 'bottom_left': 0.29846153846153844, 'bottom_right': 0.3153846153846154}","(25.867241379310343, 30.81896551724138)","(0.497446949602122, 0.6163793103448276)","(101.19308858501785, 187.89099583828778)","(0.03890545504998764, 0.0668889269627226)"
403,"{'top_left': 71, 'top_right': 66, 'bottom_left': 137, 'bottom_right': 129}","{'top_left': 0.11872909698996656, 'top_right': 0.11036789297658862, 'bottom_left': 0.22909698996655517, 'bottom_right': 0.2157190635451505}","(23.106699751861044, 31.01985111662531)","(0.5134822167080232, 0.6082323748357904)","(97.91523868751116, 138.9141734756079)","(0.03621125691106182, 0.06564942035709258)"
409,"{'top_left': 59, 'top_right': 59, 'bottom_left': 133, 'bottom_right': 158}","{'top_left': 0.1388235294117647, 'top_right': 0.1388235294117647, 'bottom_left': 0.3129411764705882, 'bottom_right': 0.37176470588235294}","(17.21515892420538, 30.68948655256724)","(0.5063282036530994, 0.6137897310513448)","(92.37546403955022, 56.35957460799492)","(0.03551536487487513, 0.04600781600652647)"
679,"{'top_left': 87, 'top_right': 96, 'bottom_left': 235, 'bottom_right': 261}","{'top_left': 0.12428571428571429, 'top_right': 0.13714285714285715, 'bottom_left': 0.3357142857142857, 'bottom_right': 0.37285714285714283}","(28.0, 34.34315169366716)","(0.5, 0.6868630338733432)","(136.7909361640288, 257.85272459499265)","(0.05259167095887305, 0.07936371948137662)"
529,"{'top_left': 9, 'top_right': 103, 'bottom_left': 147, 'bottom_right': 270}","{'top_left': 0.018, 'top_right': 0.206, 'bottom_left': 0.294, 'bottom_right': 0.54}","(23.780718336483933, 34.438563327032135)","(0.5945179584120983, 0.6887712665406427)","(102.15548829513902, 121.21845619476775)","(0.039275466472564025, 0.07211091980652454)"
434,"{'top_left': 47, 'top_right': 65, 'bottom_left': 159, 'bottom_right': 163}","{'top_left': 0.1175, 'top_right': 0.1625, 'bottom_left': 0.3975, 'bottom_right': 0.4075}","(18.481566820276498, 33.294930875576036)","(0.596179574847629, 0.6658986175115207)","(111.23098812886239, 66.5307662086687)","(0.0427647013182862, 0.06497145137565302)"
