weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
308,"{'top_left': 0, 'top_right': 0, 'bottom_left': 139, 'bottom_right': 169}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3088888888888889, 'bottom_right': 0.37555555555555553}","(18.5, 37.88961038961039)","(0.5138888888888888, 0.7577922077922078)","(42.47482712093102, 74.69155844155844)","(0.01633019112684776, 0.05455920996461537)"
194,"{'top_left': 0, 'top_right': 0, 'bottom_left': 107, 'bottom_right': 87}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.2743589743589744, 'bottom_right': 0.2230769230769231}","(14.27319587628866, 36.25773195876289)","(0.49217916814788487, 0.7109359207600566)","(35.634605165267295, 52.63154958018919)","(0.013178478241592935, 0.05847949953354354)"
237,"{'top_left': 0, 'top_right': 0, 'bottom_left': 114, 'bottom_right': 123}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.32571428571428573, 'bottom_right': 0.3514285714285714}","(13.641350210970463, 37.42194092827004)","(0.5052351929989061, 0.7484388185654008)","(38.6827253467215, 34.744788050348056)","(0.014872251190588812, 0.04431733169687252)"
356,"{'top_left': 0, 'top_right': 0, 'bottom_left': 178, 'bottom_right': 178}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.33904761904761904, 'bottom_right': 0.33904761904761904}","(20.5, 39.57303370786517)","(0.5, 0.7914606741573035)","(59.32331776290873, 129.82303370786516)","(0.022807888413267485, 0.07359582409742924)"
294,"{'top_left': 0, 'top_right': 0, 'bottom_left': 92, 'bottom_right': 202}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.24533333333333332, 'bottom_right': 0.5386666666666666}","(17.45578231292517, 40.14625850340136)","(0.581859410430839, 0.8029251700680272)","(45.90717987875423, 64.92151418390485)","(0.017649819253654067, 0.06755620622674802)"
249,"{'top_left': 0, 'top_right': 0, 'bottom_left': 120, 'bottom_right': 129}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.4, 'bottom_right': 0.43}","(13.433734939759036, 39.53413654618474)","(0.5597389558232931, 0.7906827309236948)","(51.13236883276076, 41.17733584942179)","(0.019658734653118324, 0.06588373735907486)"
204,"{'top_left': 0, 'top_right': 0, 'bottom_left': 97, 'bottom_right': 107}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.2425, 'bottom_right': 0.2675}","(15.794117647058824, 42.127450980392155)","(0.5094876660341556, 0.8425490196078431)","(41.68963860053825, 27.938004613610147)","(0.01602831164957257, 0.02728320763047866)"
285,"{'top_left': 31, 'top_right': 0, 'bottom_left': 106, 'bottom_right': 148}","{'top_left': 0.06512605042016807, 'top_right': 0.0, 'bottom_left': 0.22268907563025211, 'bottom_right': 0.31092436974789917}","(17.4, 39.21052631578947)","(0.5117647058823529, 0.700187969924812)","(93.44339796860571, 74.57684210526317)","(0.02876066419470782, 0.060879054779806666)"
237,"{'top_left': 0, 'top_right': 0, 'bottom_left': 121, 'bottom_right': 116}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3457142857142857, 'bottom_right': 0.3314285714285714}","(13.181434599156118, 36.50632911392405)","(0.48820128145022657, 0.730126582278481)","(42.52844095497516, 39.56623760437252)","(0.01635080390425804, 0.05046713980149556)"
168,"{'top_left': 0, 'top_right': 0, 'bottom_left': 99, 'bottom_right': 69}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.28285714285714286, 'bottom_right': 0.19714285714285715}","(13.119047619047619, 38.44047619047619)","(0.4858906525573192, 0.7688095238095238)","(38.23455215419501, 43.509637188208615)","(0.014699943158091122, 0.05549698620944976)"
203,"{'top_left': 0, 'top_right': 0, 'bottom_left': 73, 'bottom_right': 130}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.1622222222222222, 'bottom_right': 0.28888888888888886}","(18.84729064039409, 39.20197044334975)","(0.523535851122058, 0.784039408866995)","(36.161178383362866, 86.29687689582373)","(0.013902798301946507, 0.063036433086796)"
230,"{'top_left': 0, 'top_right': 0, 'bottom_left': 114, 'bottom_right': 116}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.456, 'bottom_right': 0.464}","(9.508695652173913, 39.28260869565217)","(0.5004576659038902, 0.7856521739130434)","(43.49839319470699, 24.84992438563327)","(0.016723719029106878, 0.06212481096408317)"
323,"{'top_left': 0, 'top_right': 0, 'bottom_left': 175, 'bottom_right': 148}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.30434782608695654, 'bottom_right': 0.2573913043478261}","(21.823529411764707, 38.43034055727554)","(0.4849673202614379, 0.7686068111455109)","(40.93245406358731, 126.23820797668913)","(0.015737198794151214, 0.059658888457792596)"
357,"{'top_left': 0, 'top_right': 0, 'bottom_left': 207, 'bottom_right': 150}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.3942857142857143, 'bottom_right': 0.2857142857142857}","(17.65826330532213, 38.745098039215684)","(0.42043484060290787, 0.7749019607843137)","(41.61289613884769, 127.9560451631633)","(0.01599880666622364, 0.06920283675671351)"
376,"{'top_left': 0, 'top_right': 0, 'bottom_left': 232, 'bottom_right': 144}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.4218181818181818, 'bottom_right': 0.26181818181818184}","(18.194148936170212, 38.43617021276596)","(0.42311974270163283, 0.7687234042553192)","(37.432095971027614, 126.83730619058396)","(0.014391424825462367, 0.06551513749513634)"
205,"{'top_left': 0, 'top_right': 0, 'bottom_left': 100, 'bottom_right': 105}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.21367521367521367, 'bottom_right': 0.22435897435897437}","(17.721951219512196, 40.50731707317073)","(0.4922764227642277, 0.7942611190817791)","(24.64019036287924, 80.83488399762047)","(0.00911249643597605, 0.05904666471703467)"
253,"{'top_left': 0, 'top_right': 0, 'bottom_left': 148, 'bottom_right': 105}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.4553846153846154, 'bottom_right': 0.3230769230769231}","(10.395256916996047, 39.67193675889328)","(0.3998175737306172, 0.7934387351778657)","(49.30344170351044, 41.83586683122686)","(0.018955571589200474, 0.057388020344618464)"
127,"{'top_left': 0, 'top_right': 0, 'bottom_left': 30, 'bottom_right': 97}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.12, 'bottom_right': 0.388}","(10.858267716535433, 37.07086614173228)","(0.5714877745544965, 0.7414173228346457)","(54.03434806869614, 11.869675739351479)","(0.020774451391271105, 0.029674189348378698)"
295,"{'top_left': 0, 'top_right': 0, 'bottom_left': 141, 'bottom_right': 154}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.376, 'bottom_right': 0.4106666666666667}","(15.467796610169492, 39.03050847457627)","(0.515593220338983, 0.7806101694915255)","(46.63296753806377, 53.54387819592071)","(0.017928861029628516, 0.05571683475121822)"
261,"{'top_left': 0, 'top_right': 0, 'bottom_left': 105, 'bottom_right': 156}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.22105263157894736, 'bottom_right': 0.32842105263157895}","(19.78927203065134, 40.81609195402299)","(0.5207703165960879, 0.8163218390804597)","(41.11560311798124, 78.72570866546293)","(0.015807613655509895, 0.05175917729484742)"
169,"{'top_left': 36, 'top_right': 35, 'bottom_left': 58, 'bottom_right': 40}","{'top_left': 0.07578947368421053, 'top_right': 0.07368421052631578, 'bottom_left': 0.12210526315789473, 'bottom_right': 0.08421052631578947}","(18.301775147928993, 29.437869822485208)","(0.49464257156564845, 0.5887573964497042)","(122.3881516753615, 109.08644655299184)","(0.04705426823351076, 0.07554463057686416)"
